,MRK
% Below High,0.0
% Held by Institutions,0.7336
52-Wk Range,['71.50 - 107.50']
Annual Dividend $,2.76
Annual Dividend %,0.025699999999999997
Ask,107.55
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.4
Bid,106.68
Bid Size,100.0
Change Since Close,0.00| |(0.00%)
Closing Price,107.5
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-10-07 00:00:00
"EPS (TTM, GAAP)",6.04
Ex-dividend,2022-09-14 00:00:00
Ex-dividend Date,09/14/22
Historical Volatility,0.21
Last (size),32.0
Last (time),5:00p ET 11/25/22
Last Trade,107.5
Market Cap,272.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.81
Prev Close,107.5
Shares Outstanding,2.5B
Short Interest,0.0077
Today's Open,
Volume,144.0
Volume 10-day Avg,8619739.0
Volume Past Day,(Light)
