,ESI
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.04477611940298498
Growth 1yr High Est,0.028571428571428692
Growth 1yr Consensus Est,0.03667377398720684
Growth 2yr Low Est,-0.0026119402985074758
Growth 2yr High Est,0.06984126984126993
Growth 2yr Consensus Est,0.033614664771381225
Growth 5yr Low Est,0.13341269992747265
Growth 5yr High Est,0.170472582972583
Growth 5yr Consensus Est,0.15194264145002784
Growth 5yr Actual/Est,0.13931010498135843
Growth 3yr Historic,0.1321022727272727
