,ESI
% Above Low,0.2704
% Held by Institutions,0.9279999999999999
52-Wk Range,['15.31 - 25.26']
Annual Dividend $,0.32
Annual Dividend %,0.0165
Ask,21.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,7.75
Bid Size,100.0
Closing Price,19.45
Day Change $,-0.06
Day Change %,-0.0031
Day High,19.51
Day Low,19.31
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.72
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.38200000000000006
Last (size),75.0
Last (time),5:00p ET 11/25/22
Market Cap,4.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",26.97
Prev Close,19.51
Shares Outstanding,242.1M
Short Interest,0.0143
Today's Open,19.41
Volume,412411.0
Volume 10-day Avg,1633450.0
Volume Past Day,(Light)
