,CCCC
Price/Earnings (TTM),
Price/Sales (TTM),8.03454
Price/Book (MRQ),1.22002
Price/Cash Flow (TTM),
5yr Low,4.84
5yr High,51.21
5yr Avg Return,-0.18373333333333336
Short Int Current Month,3949334.0
Short Int Prev Month,4876448.0
Short Int Pct of Float,0.09253679999999999
Days to Cover,6.82265
Float,43.44475
Shares Outstanding,48.95701
Institutions Holding Shares,166.0
% Held by Institutions,0.804704
FCF Growth 5yr,0.2617340917834328
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
