,CL
Price/Earnings (TTM),33.4822
Price/Sales (TTM),3.61419
Price/Book (MRQ),103.7358
Price/Cash Flow (TTM),24.06884
5yr Low,57.41
5yr High,86.41
5yr Avg Return,0.025233333333333333
EPS Growth 5yr,-0.012352
Revenue Growth 5yr,0.027719200000000003
Dividend Growth 5yr,0.029210600000000003
Short Int Current Month,8675641.0
Short Int Prev Month,9996043.0
Short Int Pct of Float,0.010398099999999999
Days to Cover,2.50488
Float,834.5015
Shares Outstanding,835.2142
Institutions Holding Shares,2109.0
% Held by Institutions,0.787243
FCF Growth 5yr,0.5715462407413333
