,CL
Next Earnings Announcement,2023-01-27 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.06666666666666665
Growth 1yr High Est,-0.058641975308642125
Growth 1yr Consensus Est,-0.06265432098765439
Growth 2yr Low Est,-0.021428571428571463
Growth 2yr High Est,0.03625278283748229
Growth 2yr Consensus Est,0.007412105704455413
Growth 5yr Low Est,0.021668718773213413
Growth 5yr High Est,0.05042969904359221
Growth 5yr Consensus Est,0.03604920890840281
Growth 5yr Actual/Est,0.02987460037041703
Growth 3yr Historic,0.03257292316219773
