,JAZZ
% Below High,0.0999
% Held by Institutions,0.9331
52-Wk Range,['117.64 - 169.98']
Annual Dividend $,
Annual Dividend %,
Ask,153.5
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,152.5
Bid Size,100.0
Closing Price,153.0
Day Change $,1.74
Day Change %,0.0115
Day High,154.02
Day Low,150.99
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.31
Ex-dividend Date,No dividend
Historical Volatility,0.322
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,9.6B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,151.26
Shares Outstanding,63.0M
Short Interest,0.0383
Today's Open,151.53
Volume,139627.0
Volume 10-day Avg,536508.0
Volume Past Day,(Light)
