,JAZZ
Price/Earnings (TTM),
Price/Sales (TTM),2.68803
Price/Book (MRQ),3.5051
Price/Cash Flow (TTM),14.97956
5yr Low,86.88
5yr High,189.0
5yr Avg Return,0.029983333333333334
EPS Growth 5yr,
Revenue Growth 5yr,0.1576885
Dividend Growth 5yr,
Short Int Current Month,2349241.0
Short Int Prev Month,2393448.0
Short Int Pct of Float,0.0383115
Days to Cover,3.66421
Float,61.36959
Shares Outstanding,62.96632
Institutions Holding Shares,713.0
% Held by Institutions,0.9331090000000001
FCF Growth 5yr,0.5319572377967908
