,CYH
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.51338199513382
Growth 2yr High Est,-1.7999999999999998
Growth 2yr Consensus Est,-1.15669099756691
Growth 5yr Low Est,-0.51338199513382
Growth 5yr High Est,-1.7999999999999998
Growth 5yr Consensus Est,-1.15669099756691
Growth 5yr Actual/Est,-0.014351756620251066
Growth 3yr Historic,0.7347066167290887
