,CYH
Price/Earnings (TTM),
Price/Sales (TTM),0.0392
Price/Book (MRQ),
Price/Cash Flow (TTM),0.99643
5yr Low,1.79
5yr High,17.04
5yr Avg Return,0.2118166666666667
EPS Growth 5yr,
Revenue Growth 5yr,-0.0767546
Dividend Growth 5yr,
Short Int Current Month,8552594.0
Short Int Prev Month,11490889.0
Short Int Pct of Float,0.0683126
Days to Cover,3.60688
Float,126.1979
Shares Outstanding,134.7132
Institutions Holding Shares,240.0
% Held by Institutions,0.7869769999999999
FCF Growth 5yr,-4.1486186186186185
