,CYH
% Above Low,0.9043000000000001
% Held by Institutions,0.787
52-Wk Range,['1.88 - 14.74']
Annual Dividend $,
Annual Dividend %,
Ask,3.89
Ask Size,4000.0
B/A Ratio,0.075
B/A Size,300x4000
Beta,2.0
Bid,3.57
Bid Size,300.0
Closing Price,3.58
Day Change $,0.19
Day Change %,0.055999999999999994
Day High,3.58
Day Low,3.38
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.52
Ex-dividend Date,No dividend
Historical Volatility,1.0150000000000001
Last (size),10.0
Last (time),5:00p ET 11/25/22
Market Cap,482.3M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,3.39
Shares Outstanding,134.7M
Short Interest,0.0683
Today's Open,3.4
Volume,667212.0
Volume 10-day Avg,1431128.0
Volume Past Day,(Light)
