,UTI
% Above Low,0.3397
% Held by Institutions,0.7875
52-Wk Range,['5.27 - 11.45']
Annual Dividend $,
Annual Dividend %,
Ask,7.28
Ask Size,600.0
B/A Ratio,2.1666666666666665
B/A Size,1300x600
Beta,0.9
Bid,7.04
Bid Size,1300.0
Closing Price,7.06
Day Change $,-0.22
Day Change %,-0.0302
Day High,7.22
Day Low,7.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.67
Ex-dividend Date,No dividend
Historical Volatility,0.47700000000000004
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,238.7M
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.91
Prev Close,7.28
Shares Outstanding,33.8M
Short Interest,0.033
Today's Open,7.2
Volume,137525.0
Volume 10-day Avg,97377.0
Volume Past Day,(Heavy Day)
