,UTI
Next Earnings Announcement,2022-12-12 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.14285714285714302
Growth 2yr High Est,0.6440677966101696
Growth 2yr Consensus Est,0.25060532687651327
Growth 5yr Low Est,-0.14285714285714302
Growth 5yr High Est,0.6440677966101696
Growth 5yr Consensus Est,0.25060532687651327
Growth 5yr Actual/Est,1.2706656346749223
Growth 3yr Historic,0.9754901960784311
