,LGND
% Above Low,0.6267
% Held by Institutions,0.8946999999999999
52-Wk Range,['45.25 - 102.79']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
Ask close,89.96
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Bid close,56.77
Change Since Close,-2.20| |(-2.99%)
Closing Price,73.61
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.27
Ex-dividend Date,No dividend
Historical Volatility,2.9410000000000003
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,71.41
Market Cap,1.2B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,73.61
Shares Outstanding,16.9M
Short Interest,0.049100000000000005
Today's Open,
Volume,1.0
Volume 10-day Avg,156047.0
Volume Past Day,(Light)
