,LGND
Price/Earnings (TTM),
Price/Sales (TTM),5.14553
Price/Book (MRQ),1.52342
Price/Cash Flow (TTM),38.52821
5yr Low,57.24
5yr High,278.62
5yr Avg Return,-0.03584999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.2052409
Dividend Growth 5yr,
Short Int Current Month,784121.0
Short Int Prev Month,735438.0
Short Int Pct of Float,0.0491472
Days to Cover,3.16804
Float,15.93255
Shares Outstanding,16.89358
Institutions Holding Shares,288.0
% Held by Institutions,0.8946649999999999
FCF Growth 5yr,0.03116271270787045
