,LGND
Next Earnings Announcement,2023-02-16 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.3445945945945945
Growth 1yr High Est,0.4426229508196724
Growth 1yr Consensus Est,0.39360877270713346
Growth 2yr Low Est,-0.026195165014260557
Growth 2yr High Est,0.0985842026825634
Growth 2yr Consensus Est,0.03619451883415142
Growth 5yr Low Est,-0.013097582507130279
Growth 5yr High Est,0.0492921013412817
Growth 5yr Consensus Est,0.01809725941707571
Growth 5yr Actual/Est,0.055273273982333226
Growth 3yr Historic,0.22087023009353107
