,ANSS
% Above Low,0.2688
% Held by Institutions,0.9459000000000001
52-Wk Range,['194.23 - 413.22']
Annual Dividend $,
Annual Dividend %,
Ask,259.24
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,228.9
Bid Size,100.0
Closing Price,246.44
Day Change $,-0.52
Day Change %,-0.0021
Day High,247.48
Day Low,244.79
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",5.34
Ex-dividend Date,No dividend
Historical Volatility,0.413
Last (size),2.0
Last (time),1:00p ET 11/25/22
Market Cap,21.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",46.13
Prev Close,246.96
Shares Outstanding,87.1M
Short Interest,0.012
Today's Open,244.79
Volume,223954.0
Volume 10-day Avg,515185.0
Volume Past Day,(Light)
