,ANSS
Price/Earnings (TTM),46.134
Price/Sales (TTM),10.59044
Price/Book (MRQ),4.72349
Price/Cash Flow (TTM),36.91516
5yr Low,136.8
5yr High,413.89
5yr Avg Return,0.15285
EPS Growth 5yr,0.1156405
Revenue Growth 5yr,0.1404202
Dividend Growth 5yr,
Short Int Current Month,1044066.0
Short Int Prev Month,1047825.0
Short Int Pct of Float,0.012031499999999999
Days to Cover,1.16575
Float,86.77966
Shares Outstanding,87.11223
Institutions Holding Shares,1071.0
% Held by Institutions,0.9458610000000001
FCF Growth 5yr,0.10876101308034014
