,WWW
Price/Earnings (TTM),5.75251
Price/Sales (TTM),0.33336
Price/Book (MRQ),1.34755
Price/Cash Flow (TTM),4.61045
5yr Low,10.39
5yr High,44.74
5yr Avg Return,-0.10525000000000001
EPS Growth 5yr,-0.0185417
Revenue Growth 5yr,-0.006473100000000001
Dividend Growth 5yr,0.10756629999999999
Short Int Current Month,3592099.0
Short Int Prev Month,3908311.0
Short Int Pct of Float,0.046882
Days to Cover,1.96291
Float,76.67193
Shares Outstanding,78.75508
Institutions Holding Shares,292.0
% Held by Institutions,0.987226
FCF Growth 5yr,0.04691554271034034
