,WWW
% Above Low,0.054900000000000004
% Held by Institutions,0.9872
52-Wk Range,['10.39 - 33.41']
Annual Dividend $,0.4
Annual Dividend %,0.0356
Ask,11.52
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.6
Bid,10.41
Bid Size,100.0
Closing Price,10.96
Day Change $,-0.28
Day Change %,-0.024900000000000002
Day High,11.16
Day Low,10.83
Dividend Pay Date,2023-02-01 00:00:00
"EPS (TTM, GAAP)",1.95
Ex-dividend,2022-12-29 00:00:00
Ex-dividend Date,12/29/22
Historical Volatility,0.631
Last (size),100.0
Last (time),7:00p ET 11/28/22
Market Cap,863.2M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",5.75
Prev Close,11.24
Shares Outstanding,78.8M
Short Interest,0.046900000000000004
Today's Open,11.02
Volume,2153591.0
Volume 10-day Avg,1993236.0
Volume Past Day,(Average)
