,LEA
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,19.0
Growth 1yr Low Est,0.11440107671601618
Growth 1yr High Est,-0.022950819672131195
Growth 1yr Consensus Est,0.04572512852194249
Growth 2yr Low Est,0.23050971710196955
Growth 2yr High Est,0.6389720174569993
Growth 2yr Consensus Est,0.4347408672794844
Growth 5yr Low Est,0.10677666620369869
Growth 5yr High Est,0.30192597600845206
Growth 5yr Consensus Est,0.2043513211060754
Growth 5yr Actual/Est,0.1285344033130696
Growth 3yr Historic,-0.03233313261817944
