,LEA
Price/Earnings (TTM),37.18828
Price/Sales (TTM),0.41663
Price/Book (MRQ),1.97988
Price/Cash Flow (TTM),9.76493
5yr Low,63.2
5yr High,206.36
5yr Avg Return,-0.020549999999999992
EPS Growth 5yr,-0.1423353
Revenue Growth 5yr,0.0074903
Dividend Growth 5yr,0.1379701
Short Int Current Month,1509760.0
Short Int Prev Month,1547238.0
Short Int Pct of Float,0.0256007
Days to Cover,2.53498
Float,58.97712
Shares Outstanding,59.10567
Institutions Holding Shares,603.0
% Held by Institutions,1.04724
FCF Growth 5yr,-1.095698777886019
