,LEA
% Above Low,0.254
% Held by Institutions,1.0472
52-Wk Range,['114.67 - 195.43']
Annual Dividend $,3.08
Annual Dividend %,0.021400000000000002
Ask,200.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.5
Bid,143.25
Bid Size,100.0
Closing Price,143.8
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-27 00:00:00
"EPS (TTM, GAAP)",3.87
Ex-dividend,2022-12-06 00:00:00
Ex-dividend Date,12/06/22
Historical Volatility,0.454
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,8.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",37.19
Prev Close,143.8
Shares Outstanding,59.1M
Short Interest,0.0256
Today's Open,
Volume,157773.0
Volume 10-day Avg,406254.0
Volume Past Day,(Light)
