,ARVN
% Above Low,0.1559
% Held by Institutions,0.9359000000000001
52-Wk Range,['34.90 - 83.40']
Annual Dividend $,
Annual Dividend %,
Ask,40.44
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.8
Bid,40.3
Bid Size,100.0
Closing Price,40.34
Day Change $,0.78
Day Change %,0.0197
Day High,40.35
Day Low,38.62
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.76
Ex-dividend Date,No dividend
Historical Volatility,0.718
Last (size),3.0
Last (time),12:59p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,39.56
Shares Outstanding,53.2M
Short Interest,0.1116
Today's Open,39.3
Volume,320998.0
Volume 10-day Avg,744394.0
Volume Past Day,(Light)
