,ARVN
Price/Earnings (TTM),
Price/Sales (TTM),19.14894
Price/Book (MRQ),3.45308
Price/Cash Flow (TTM),
5yr Low,10.19
5yr High,108.47
5yr Avg Return,0.4758799999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.47587969999999996
Dividend Growth 5yr,
Short Int Current Month,5387739.0
Short Int Prev Month,5625737.0
Short Int Pct of Float,0.1115707
Days to Cover,12.30341
Float,48.29266
Shares Outstanding,53.22752
Institutions Holding Shares,244.0
% Held by Institutions,0.9359069999999999
FCF Growth 5yr,0.25069914890021355
