,INGR
Price/Earnings (TTM),14.90986
Price/Sales (TTM),0.83869
Price/Book (MRQ),2.11002
Price/Cash Flow (TTM),9.50023
5yr Low,59.11
5yr High,146.28
5yr Avg Return,-0.03935
EPS Growth 5yr,-0.23403960000000001
Revenue Growth 5yr,0.038624
Dividend Growth 5yr,0.0679533
Short Int Current Month,1014362.0
Short Int Prev Month,1090748.0
Short Int Pct of Float,0.0156037
Days to Cover,2.88677
Float,65.05672
Shares Outstanding,65.55532
Institutions Holding Shares,577.0
% Held by Institutions,0.864987
FCF Growth 5yr,-0.8592524609662026
