,HEI
% Below High,0.018500000000000003
% Held by Institutions,0.6859999999999999
52-Wk Range,['126.95 - 165.61']
Annual Dividend $,0.18
Annual Dividend %,0.0011
Ask,197.78
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.1
Bid,
Bid Size,
Closing Price,162.54
Day Change $,0.14
Day Change %,0.0009
Day High,163.41
Day Low,161.79
Dividend Pay Date,2022-07-15 00:00:00
"EPS (TTM, GAAP)",2.47
Ex-dividend,2022-06-30 00:00:00
Ex-dividend Date,06/30/22
Historical Volatility,0.28800000000000003
Last (size),3.0
Last (time),5:00p ET 11/25/22
Market Cap,22.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",65.82
Prev Close,162.4
Shares Outstanding,136.6M
Short Interest,0.0536
Today's Open,162.05
Volume,105890.0
Volume 10-day Avg,249743.0
Volume Past Day,(Light)
