,HEI
Price/Earnings (TTM),65.81846
Price/Sales (TTM),9.13726
Price/Book (MRQ),9.01492
Price/Cash Flow (TTM),41.11177
5yr Low,52.01
5yr High,165.61
5yr Avg Return,0.19428333333333334
EPS Growth 5yr,0.1347149
Revenue Growth 5yr,0.0627413
Dividend Growth 5yr,0.15720900000000002
Short Int Current Month,2257136.0
Short Int Prev Month,2246331.0
Short Int Pct of Float,0.053607800000000004
Days to Cover,7.04316
Float,116.3632
Shares Outstanding,136.5917
Institutions Holding Shares,590.0
% Held by Institutions,0.6860339999999999
FCF Growth 5yr,0.45341930865865626
