,HEI
Next Earnings Announcement,2022-12-14 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.24
Growth 1yr High Est,0.17647058823529416
Growth 1yr Consensus Est,0.20823529411764707
Growth 2yr Low Est,0.19258064516129025
Growth 2yr High Est,0.2036199095022625
Growth 2yr Consensus Est,0.19810027733177638
Growth 5yr Low Est,0.06264430312461974
Growth 5yr High Est,0.08480663308850442
Growth 5yr Consensus Est,0.07372546810656208
Growth 5yr Actual/Est,0.06734903966710476
Growth 3yr Historic,-0.019193875500173596
