,EAF
% Above Low,0.317
% Held by Institutions,0.9465
52-Wk Range,['4.07 - 12.52']
Annual Dividend $,0.04
Annual Dividend %,0.0075
Ask,5.45
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,5.3
Bid Size,100.0
Closing Price,5.36
Day Change $,-0.13
Day Change %,-0.023700000000000002
Day High,5.53
Day Low,5.32
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",1.82
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.562
Last (size),249.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
"P/E Ratio (TTM, GAAP)",2.95
Prev Close,5.49
Shares Outstanding,256.6M
Short Interest,0.0181
Today's Open,5.5
Volume,840115.0
Volume 10-day Avg,2902409.0
Volume Past Day,(Light)
