,EAF
Price/Earnings (TTM),2.94701
Price/Sales (TTM),0.98449
Price/Book (MRQ),5.07512
Price/Cash Flow (TTM),2.57984
5yr Low,4.07
5yr High,24.36
5yr Avg Return,-0.14518
EPS Growth 5yr,
Revenue Growth 5yr,0.2517219
Dividend Growth 5yr,
Short Int Current Month,4630801.0
Short Int Prev Month,5426950.0
Short Int Pct of Float,0.018074
Days to Cover,2.04884
Float,256.2132
Shares Outstanding,256.5974
Institutions Holding Shares,302.0
% Held by Institutions,0.9465389999999999
FCF Growth 5yr,-0.00022931496178883273
