,CLX
Price/Earnings (TTM),45.72481
Price/Sales (TTM),2.6198
Price/Book (MRQ),56.56969
Price/Cash Flow (TTM),28.82192
5yr Low,113.57
5yr High,239.87
5yr Avg Return,0.028766666666666666
EPS Growth 5yr,-0.0694334
Revenue Growth 5yr,0.0353776
Dividend Growth 5yr,0.0771436
Short Int Current Month,6605691.0
Short Int Prev Month,6574285.0
Short Int Pct of Float,0.0537751
Days to Cover,4.95656
Float,122.8814
Shares Outstanding,123.3848
Institutions Holding Shares,1354.0
% Held by Institutions,0.751694
FCF Growth 5yr,0.5444394148831733
