,CLX
% Above Low,0.2407
% Held by Institutions,0.7517
52-Wk Range,['120.50 - 186.86']
Annual Dividend $,4.72
Annual Dividend %,0.0316
Ask,149.8
Ask Size,1000.0
B/A Ratio,1.0
B/A Size,1000x1000
Beta,0.3
Bid,149.2
Bid Size,1000.0
Closing Price,149.5
Day Change $,0.39
Day Change %,0.0026
Day High,149.55
Day Low,147.09
Dividend Pay Date,2023-02-10 00:00:00
"EPS (TTM, GAAP)",3.27
Ex-dividend,2023-01-24 00:00:00
Ex-dividend Date,01/24/23
Historical Volatility,0.337
Last (size),13.0
Last (time),5:00p ET 11/25/22
Market Cap,18.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",45.72
Prev Close,149.11
Shares Outstanding,123.4M
Short Interest,0.0538
Today's Open,149.12
Volume,655037.0
Volume 10-day Avg,1068706.0
Volume Past Day,(Light)
