,AAN
Price/Earnings (TTM),22.97163
Price/Sales (TTM),0.16936
Price/Book (MRQ),0.50651
Price/Cash Flow (TTM),0.60226
5yr Low,7.65
5yr High,37.49
5yr Avg Return,-0.20423333333333332
EPS Growth 5yr,0.09980660000000001
Revenue Growth 5yr,-0.0105526
Dividend Growth 5yr,
Short Int Current Month,1727681.0
Short Int Prev Month,1662342.0
Short Int Pct of Float,0.0579577
Days to Cover,3.97409
Float,29.80933
Shares Outstanding,30.78048
Institutions Holding Shares,242.0
% Held by Institutions,0.922853
FCF Growth 5yr,-22.93936612380446
