,AAN
% Above Low,0.5147
% Held by Institutions,0.9229
52-Wk Range,['7.65 - 25.96']
Annual Dividend $,0.45
Annual Dividend %,0.038900000000000004
Ask,12.85
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,
Bid,6.0
Bid Size,400.0
Closing Price,11.58
Day Change $,-0.27
Day Change %,-0.022799999999999997
Day High,11.94
Day Low,11.58
Dividend Pay Date,2023-01-05 00:00:00
"EPS (TTM, GAAP)",0.5
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.8009999999999999
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,356.4M
"P/E Ratio (TTM, GAAP)",22.97
Prev Close,11.85
Shares Outstanding,30.8M
Short Interest,0.057999999999999996
Today's Open,11.72
Volume,123564.0
Volume 10-day Avg,385661.0
Volume Past Day,(Light)
