,MODN
Price/Earnings (TTM),
Price/Sales (TTM),6.59852
Price/Book (MRQ),10.74222
Price/Cash Flow (TTM),
5yr Low,12.6
5yr High,48.2
5yr Avg Return,0.26926666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1081221
Dividend Growth 5yr,
Short Int Current Month,2378125.0
Short Int Prev Month,2423893.0
Short Int Pct of Float,0.0659993
Days to Cover,5.86993
Float,36.10065
Shares Outstanding,37.35878
Institutions Holding Shares,222.0
% Held by Institutions,0.9850920000000001
FCF Growth 5yr,1.5722572301920525
