,MODN
% Below High,0.0348
% Held by Institutions,0.9851000000000001
52-Wk Range,['20.95 - 40.11']
Annual Dividend $,
Annual Dividend %,
Ask,50.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.6
Bid,29.17
Bid Size,100.0
Closing Price,38.71
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.78
Ex-dividend Date,No dividend
Historical Volatility,0.45799999999999996
Last (size),50.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,38.71
Shares Outstanding,37.4M
Short Interest,0.066
Today's Open,
Volume,143038.0
Volume 10-day Avg,399288.0
Volume Past Day,(Light)
