,AZO
% Below High,0.0051
% Held by Institutions,0.9286
52-Wk Range,"['1,703.32 - 2,575.29']"
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.8
Bid,2315.0
Bid Size,
Closing Price,2562.12
Day Change $,45.54
Day Change %,0.0181
Day High,2575.29
Day Low,2526.77
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",118.03
Ex-dividend Date,No dividend
Historical Volatility,0.31
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,48.6B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",21.71
Prev Close,2516.58
Shares Outstanding,19.0M
Short Interest,0.0192
Today's Open,2535.6
Volume,60799.0
Volume 10-day Avg,127207.0
Volume Past Day,(Light)
