,METC
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,2.0
Growth 1yr Low Est,2.797619047619048
Growth 1yr High Est,2.734042553191489
Growth 1yr Consensus Est,2.7658308004052685
Growth 2yr Low Est,1.2154239438722199
Growth 2yr High Est,1.5436594532339214
Growth 2yr Consensus Est,1.3795416985530706
Growth 5yr Low Est,1.2154239438722199
Growth 5yr High Est,1.5436594532339214
Growth 5yr Consensus Est,1.3795416985530706
Growth 5yr Actual/Est,-1.7284384782347872
Growth 3yr Historic,-2.4241803278688523
