,METC
Price/Earnings (TTM),4.21479
Price/Sales (TTM),0.96171
Price/Book (MRQ),1.66785
Price/Cash Flow (TTM),3.16201
5yr Low,1.75
5yr High,21.73
5yr Avg Return,0.5297333333333333
EPS Growth 5yr,
Revenue Growth 5yr,1.223364
Dividend Growth 5yr,
Short Int Current Month,2001324.0
Short Int Prev Month,1853302.0
Short Int Pct of Float,0.0826287
Days to Cover,3.29821
Float,24.22646
Shares Outstanding,44.1217
Institutions Holding Shares,144.0
% Held by Institutions,0.6180140000000001
FCF Growth 5yr,0.530533184317745
