,ADBE
% Above Low,0.2168
% Held by Institutions,0.8156
52-Wk Range,['274.73 - 694.89']
Annual Dividend $,
Annual Dividend %,
Ask,334.3
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,333.61
Bid Size,100.0
Closing Price,334.3
Day Change $,-1.48
Day Change %,-0.0044
Day High,335.51
Day Low,332.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",10.14
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,155.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",32.96
Prev Close,335.78
Shares Outstanding,464.9M
Short Interest,0.009899999999999999
Today's Open,332.89
Volume,1197767.0
Volume 10-day Avg,3048186.0
Volume Past Day,(Light)
