,ADBE
Price/Earnings (TTM),32.96412
Price/Sales (TTM),9.04055
Price/Book (MRQ),10.8619
Price/Cash Flow (TTM),27.46352
5yr Low,165.68
5yr High,699.54
5yr Avg Return,0.16154999999999997
EPS Growth 5yr,0.3403161
Revenue Growth 5yr,0.2194163
Dividend Growth 5yr,
Short Int Current Month,4591048.0
Short Int Prev Month,5317353.0
Short Int Pct of Float,0.0099112
Days to Cover,1.16816
Float,463.2902
Shares Outstanding,464.9
Institutions Holding Shares,3081.0
% Held by Institutions,0.815561
FCF Growth 5yr,0.27666778512861107
