,CVLT
Price/Earnings (TTM),117.3617
Price/Sales (TTM),3.70274
Price/Book (MRQ),11.10457
Price/Cash Flow (TTM),78.28545
5yr Low,24.26
5yr High,84.22
5yr Avg Return,0.04703333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.035951399999999994
Dividend Growth 5yr,
Short Int Current Month,855227.0
Short Int Prev Month,1074573.0
Short Int Pct of Float,0.019413100000000003
Days to Cover,2.51569
Float,44.07158
Shares Outstanding,44.53204
Institutions Holding Shares,350.0
% Held by Institutions,0.9306749999999999
FCF Growth 5yr,0.8031739398626326
