,CVLT
% Below High,0.0681
% Held by Institutions,0.9307
52-Wk Range,['50.26 - 70.88']
Annual Dividend $,
Annual Dividend %,
Ask,66.42
Ask Size,700.0
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,0.6
Bid,65.68
Bid Size,200.0
Closing Price,66.05
Day Change $,0.32
Day Change %,0.0049
Day High,66.37
Day Low,65.33
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.56
Ex-dividend Date,No dividend
Historical Volatility,0.341
Last (size),21.0
Last (time),12:59p ET 11/25/22
Market Cap,2.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",117.36
Prev Close,65.73
Shares Outstanding,44.5M
Short Interest,0.0194
Today's Open,65.33
Volume,64213.0
Volume 10-day Avg,389860.0
Volume Past Day,(Light)
