,XXII
Price/Earnings (TTM),
Price/Sales (TTM),4.99471
Price/Book (MRQ),2.09811
Price/Cash Flow (TTM),
5yr Low,0.55
5yr High,6.07
5yr Avg Return,0.04381666666666668
EPS Growth 5yr,
Revenue Growth 5yr,0.2030592
Dividend Growth 5yr,
Short Int Current Month,17090286.0
Short Int Prev Month,16117560.0
Short Int Pct of Float,0.08150299999999999
Days to Cover,8.65678
Float,209.689
Shares Outstanding,215.3016
Institutions Holding Shares,153.0
% Held by Institutions,0.21022
FCF Growth 5yr,0.5265470889554499
