,XXII
% Above Low,0.31760000000000005
% Held by Institutions,0.2102
52-Wk Range,['0.85 - 3.52']
Annual Dividend $,
Annual Dividend %,
Ask,1.12
Ask Size,400.0
B/A Ratio,49.25
B/A Size,19700x400
Beta,1.9
Bid,1.1
Bid Size,19700.0
Closing Price,1.12
Day Change $,-0.06
Day Change %,-0.0508
Day High,1.17
Day Low,1.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.27
Ex-dividend Date,No dividend
Historical Volatility,0.924
Last (size),50.0
Last (time),4:00p ET 11/28/22
Market Cap,241.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,1.18
Shares Outstanding,215.3M
Short Interest,0.0815
Today's Open,1.17
Volume,947968.0
Volume 10-day Avg,1502656.0
Volume Past Day,(Light)
