,NKE
Next Earnings Announcement,2022-12-20 00:00:00
Growth Analysts,33.0
Growth 1yr Low Est,-0.24216524216524205
Growth 1yr High Est,-0.09090909090909094
Growth 1yr Consensus Est,-0.1665371665371665
Growth 2yr Low Est,-0.023338260180365333
Growth 2yr High Est,0.04204545454545455
Growth 2yr Consensus Est,0.00935359718254461
Growth 5yr Low Est,-0.023338260180365333
Growth 5yr High Est,0.04204545454545455
Growth 5yr Consensus Est,0.00935359718254461
Growth 5yr Actual/Est,0.3345345310811151
Growth 3yr Historic,0.3195926966292135
