,NKE
Price/Earnings (TTM),30.09543
Price/Sales (TTM),3.51617
Price/Book (MRQ),10.47411
Price/Cash Flow (TTM),25.58001
5yr Low,59.24
5yr High,179.1
5yr Avg Return,0.13558333333333336
EPS Growth 5yr,0.0841568
Revenue Growth 5yr,0.06339990000000001
Dividend Growth 5yr,0.11273
Short Int Current Month,16075136.0
Short Int Prev Month,17377903.0
Short Int Pct of Float,0.0129229
Days to Cover,1.93273
Float,1244.045
Shares Outstanding,1564.591
Institutions Holding Shares,2910.0
% Held by Institutions,0.796097
FCF Growth 5yr,-0.23885436604610336
