,NKE
% Above Low,0.2887
% Held by Institutions,0.7961
52-Wk Range,['82.22 - 173.37']
Annual Dividend $,1.36
Annual Dividend %,0.0128
Ask,105.2
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,1.1
Bid,104.73
Bid Size,100.0
Change Since Close,-1.09| |(-1.03%)
Closing Price,105.96
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-28 00:00:00
"EPS (TTM, GAAP)",3.52
Ex-dividend,2022-12-02 00:00:00
Ex-dividend Date,12/02/22
Historical Volatility,0.406
Last (size),1.0
Last (time),5:00p ET 11/25/22
Last Trade,104.87
Market Cap,165.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",30.1
Prev Close,105.96
Shares Outstanding,1.6B
Short Interest,0.0129
Today's Open,
Volume,1594.0
Volume 10-day Avg,6407389.0
Volume Past Day,(Light)
