,NET
% Above Low,0.239
% Held by Institutions,0.8454
52-Wk Range,['37.37 - 205.79']
Annual Dividend $,
Annual Dividend %,
Ask,45.92
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,45.62
Bid Size,100.0
Change Since Close,-0.39| |(-0.84%)
Closing Price,46.3
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.7
Ex-dividend Date,No dividend
Historical Volatility,1.004
Last (size),100.0
Last (time),5:00p ET 11/25/22
Last Trade,45.91
Market Cap,15.2B
"P/E Ratio (TTM, GAAP)",
Prev Close,46.3
Shares Outstanding,328.6M
Short Interest,0.051399999999999994
Today's Open,
Volume,3624.0
Volume 10-day Avg,5748784.0
Volume Past Day,(Light)
