,NET
Price/Earnings (TTM),
Price/Sales (TTM),17.01678
Price/Book (MRQ),25.59331
Price/Cash Flow (TTM),
5yr Low,14.5
5yr High,221.64
5yr Avg Return,0.8510749999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.5057997000000001
Dividend Growth 5yr,
Short Int Current Month,14487519.0
Short Int Prev Month,12378216.0
Short Int Pct of Float,0.0513807
Days to Cover,1.74046
Float,282.092
Shares Outstanding,328.625
Institutions Holding Shares,817.0
% Held by Institutions,0.8454309999999999
FCF Growth 5yr,0.21298695371306597
