,RCM
Price/Earnings (TTM),96.08278
Price/Sales (TTM),1.94247
Price/Book (MRQ),1.17719
Price/Cash Flow (TTM),22.561
5yr Low,3.71
5yr High,31.28
5yr Avg Return,0.29796666666666666
EPS Growth 5yr,
Revenue Growth 5yr,0.2000209
Dividend Growth 5yr,
Short Int Current Month,12147212.0
Short Int Prev Month,10983201.0
Short Int Pct of Float,0.0581259
Days to Cover,1.31261
Float,303.1204
Shares Outstanding,416.5109
Institutions Holding Shares,350.0
% Held by Institutions,0.8446370000000001
FCF Growth 5yr,-2.3456129232069274
