,INFN
Price/Earnings (TTM),
Price/Sales (TTM),0.96018
Price/Book (MRQ),12.45707
Price/Cash Flow (TTM),
5yr Low,2.8
5yr High,12.39
5yr Avg Return,0.06923333333333331
EPS Growth 5yr,
Revenue Growth 5yr,0.103718
Dividend Growth 5yr,
Short Int Current Month,38181407.0
Short Int Prev Month,37168816.0
Short Int Pct of Float,0.1761669
Days to Cover,10.90084
Float,216.8114
Shares Outstanding,219.7438
Institutions Holding Shares,257.0
% Held by Institutions,0.9757349999999999
FCF Growth 5yr,101.83585150957013
