,INFN
% Above Low,0.5276
% Held by Institutions,0.9756999999999999
52-Wk Range,['4.26 - 9.86']
Annual Dividend $,
Annual Dividend %,
Ask,6.85
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.2
Bid,6.49
Bid Size,100.0
Closing Price,6.5
Day Change $,0.07
Day Change %,0.0109
Day High,6.59
Day Low,6.4
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.67
Ex-dividend Date,No dividend
Historical Volatility,0.61
Last (size),90.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.43
Shares Outstanding,219.7M
Short Interest,0.17620000000000002
Today's Open,6.4
Volume,418315.0
Volume 10-day Avg,1726368.0
Volume Past Day,(Light)
