,INFN
Next Earnings Announcement,2023-02-15 00:00:00
Growth Analysts,10.0
Growth 1yr Low Est,-1.0
Growth 1yr High Est,-2.25
Growth 1yr Consensus Est,-1.625
Growth 2yr Low Est,inf
Growth 2yr High Est,2.175
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,inf
Growth 5yr High Est,2.175
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,1.4442982456140352
Growth 3yr Historic,-0.3682017543859649
