,EVBG
% Above Low,0.2805
% Held by Institutions,0.9159999999999999
52-Wk Range,['24.10 - 122.78']
Annual Dividend $,
Annual Dividend %,
Ask,33.0
Ask Size,100.0
B/A Ratio,2.0
B/A Size,200x100
Beta,0.8
Bid,24.25
Bid Size,200.0
Closing Price,30.86
Day Change $,-0.04
Day Change %,-0.0013
Day High,31.19
Day Low,30.59
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.22
Ex-dividend Date,No dividend
Historical Volatility,1.0959999999999999
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,30.9
Shares Outstanding,39.9M
Short Interest,0.0348
Today's Open,30.76
Volume,192507.0
Volume 10-day Avg,537541.0
Volume Past Day,(Light)
