,EVBG
Price/Earnings (TTM),
Price/Sales (TTM),2.95051
Price/Book (MRQ),5.02023
Price/Cash Flow (TTM),
5yr Low,23.87
5yr High,178.98
5yr Avg Return,0.19433333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.3681933
Dividend Growth 5yr,
Short Int Current Month,1369409.0
Short Int Prev Month,1653762.0
Short Int Pct of Float,0.0348029
Days to Cover,1.56922
Float,39.59795
Shares Outstanding,39.92559
Institutions Holding Shares,286.0
% Held by Institutions,0.916022
FCF Growth 5yr,-3.5323635736262946
