,CODI
% Above Low,0.1241
% Held by Institutions,0.4781
52-Wk Range,['17.08 - 33.31']
Annual Dividend $,1.0
Annual Dividend %,0.0521
Ask,21.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,18.73
Bid Size,100.0
Closing Price,19.2
Day Change $,-0.01
Day Change %,-0.0005
Day High,19.38
Day Low,19.12
Dividend Pay Date,2022-10-27 00:00:00
"EPS (TTM, GAAP)",0.01
Ex-dividend,2022-10-19 00:00:00
Ex-dividend Date,10/19/22
Historical Volatility,0.405
Last (size),29.0
Last (time),5:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",1300.81
Prev Close,19.21
Shares Outstanding,72.2M
Short Interest,0.0208
Today's Open,19.27
Volume,85717.0
Volume 10-day Avg,197878.0
Volume Past Day,(Light)
