,CODI
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,3.0
Growth 1yr Low Est,-0.2145593869731801
Growth 1yr High Est,-0.17279411764705888
Growth 1yr Consensus Est,-0.1936767523101195
Growth 2yr Low Est,-0.09020652275488261
Growth 2yr High Est,-0.021952614379085023
Growth 2yr Consensus Est,-0.05607956856698382
Growth 5yr Low Est,-0.09020652275488261
Growth 5yr High Est,-0.021952614379085023
Growth 5yr Consensus Est,-0.05607956856698382
Growth 5yr Actual/Est,0.10737457318027005
Growth 3yr Historic,0.13857963875205254
