,CODI
Price/Earnings (TTM),1300.813
Price/Sales (TTM),0.64825
Price/Book (MRQ),1.59777
Price/Cash Flow (TTM),7.83477
5yr Low,10.78
5yr High,33.31
5yr Avg Return,0.11876666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1348725
Dividend Growth 5yr,0.0
Short Int Current Month,1123749.0
Short Int Prev Month,1435249.0
Short Int Pct of Float,0.020799400000000003
Days to Cover,4.24458
Float,62.09862
Shares Outstanding,72.20273
Institutions Holding Shares,228.0
% Held by Institutions,0.478063
FCF Growth 5yr,-0.25708127069468584
