,CLNE
% Below High,0.266
% Held by Institutions,0.46159999999999995
52-Wk Range,['4.02 - 8.65']
Annual Dividend $,
Annual Dividend %,
Ask,6.34
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,2.1
Bid,6.22
Bid Size,200.0
Closing Price,6.35
Day Change $,0.08
Day Change %,0.0128
Day High,6.39
Day Low,6.17
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.22
Ex-dividend Date,No dividend
Historical Volatility,0.743
Last (size),1.0
Last (time),1:00p ET 11/25/22
Market Cap,1.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",
Prev Close,6.27
Shares Outstanding,222.4M
Short Interest,0.0704
Today's Open,6.28
Volume,571533.0
Volume 10-day Avg,2162542.0
Volume Past Day,(Light)
