,CLNE
Price/Earnings (TTM),
Price/Sales (TTM),3.5458
Price/Book (MRQ),1.95881
Price/Cash Flow (TTM),368.393
5yr Low,1.05
5yr High,19.79
5yr Avg Return,0.37465
EPS Growth 5yr,
Revenue Growth 5yr,-0.0868524
Dividend Growth 5yr,
Short Int Current Month,12093557.0
Short Int Prev Month,12218364.0
Short Int Pct of Float,0.0703824
Days to Cover,4.1727
Float,176.1115
Shares Outstanding,222.4281
Institutions Holding Shares,270.0
% Held by Institutions,0.46157200000000004
FCF Growth 5yr,-2.9378574714261556
