,EXAS
Price/Earnings (TTM),
Price/Sales (TTM),3.77948
Price/Book (MRQ),2.43189
Price/Cash Flow (TTM),
5yr Low,29.27
5yr High,159.54
5yr Avg Return,0.02765000000000002
EPS Growth 5yr,
Revenue Growth 5yr,0.7782601
Dividend Growth 5yr,
Short Int Current Month,9915478.0
Short Int Prev Month,10180434.0
Short Int Pct of Float,0.056304
Days to Cover,3.1059
Float,176.1246
Shares Outstanding,177.684
Institutions Holding Shares,680.0
% Held by Institutions,0.869963
FCF Growth 5yr,0.18596423114495406
