,EXAS
% Above Low,0.4571
% Held by Institutions,0.87
52-Wk Range,['29.27 - 90.39']
Annual Dividend $,
Annual Dividend %,
Ask,43.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,42.2
Bid Size,100.0
Closing Price,42.65
Day Change $,-0.44
Day Change %,-0.0102
Day High,43.02
Day Low,42.09
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-4.1
Ex-dividend Date,No dividend
Historical Volatility,0.6859999999999999
Last (size),5.0
Last (time),12:59p ET 11/25/22
Market Cap,7.6B
"P/E Ratio (TTM, GAAP)",
Prev Close,43.09
Shares Outstanding,177.7M
Short Interest,0.056299999999999996
Today's Open,42.72
Volume,420917.0
Volume 10-day Avg,1899699.0
Volume Past Day,(Light)
